Parameter,Optimized_Metric,Baseline_Success_Prob,Optimized_Success_Prob,Min_Feature_Value,Max_Feature_Value,Feature_Range,Range_5_percent,Bayes_Min,Bayes_Max
release_ball_direction_x,0.5083172720043937,0.34221604,0.93268645,0.0086992707706908,0.5083172720043937,0.49961800123370287,0.024980900061685143,0.48333637194270856,0.5083172720043937
release_ball_direction_z,0.859473648316606,0.34221604,0.93268645,0.859473648316606,0.9953476001943634,0.13587395187775742,0.006793697593887871,0.859473648316606,0.8662673459104939
release_ball_direction_y,-0.3653693723692169,0.34221604,0.93268645,-0.3653693723692169,0.0535667227262484,0.4189360950954653,0.020946804754773268,-0.3653693723692169,-0.3444225676144436
release_angle,84.47102451320912,0.34221604,0.93268645,59.2575354267584,84.47102451320912,25.213489086450714,1.2606744543225359,83.21035005888658,84.47102451320912
elbow_release_angle,53.11957051878086,0.34221604,0.93268645,38.87865035712956,80.6475935371033,41.768943179973746,2.0884471589986875,51.03112335978217,55.20801767777955
elbow_max_angle,102.77152897985216,0.34221604,0.93268645,98.62013758662188,118.01766313555406,19.39752554893218,0.969876277446609,101.80165270240556,103.74140525729877
wrist_release_angle,17.828917456622435,0.34221604,0.93268645,17.828917456622435,37.87109829636807,20.042180839745633,1.0021090419872818,17.828917456622435,18.831026498609717
wrist_max_angle,31.425878434541,0.34221604,0.93268645,31.425878434541,47.49279342050863,16.06691498596763,0.8033457492983817,31.425878434541,32.229224183839385
knee_release_angle,21.979190367270903,0.34221604,0.93268645,21.979190367270903,38.16210192782806,16.18291156055716,0.809145578027858,21.979190367270903,22.788335945298762
knee_max_angle,66.53271533316733,0.34221604,0.93268645,56.59997309539,66.53271533316733,9.932742237777333,0.49663711188886667,66.03607822127846,66.53271533316733
release_ball_speed,6.185011058988996,0.34221604,0.93268645,6.185011058988996,13.785014687541011,7.600003628552015,0.3800001814276008,6.185011058988996,6.565011240416597
release_ball_velocity_x,0.5874329849939302,0.34221604,0.93268645,0.060606060606027,6.636363636363672,6.575757575757645,0.3287878787878823,0.25864510620604786,0.9162208637818124
release_ball_velocity_y,-3.454545454545454,0.34221604,0.93268645,-3.454545454545454,0.6176470588235299,4.072192513368984,0.2036096256684492,-3.454545454545454,-3.250935828877005
release_ball_velocity_z,7.434214183804474,0.34221604,0.93268645,6.090909090909079,12.24242424242424,6.151515151515161,0.30757575757575806,7.126638426228716,7.741789941380231
calculated_release_angle,79.37219265326895,0.34221604,0.93268645,56.95801261527676,86.12455360017364,29.166540984896884,1.4583270492448444,77.91386560402411,80.8305197025138
